reviewee location,is first,section,comments,length,shortened comment,shortened length,Tricia category,Ariel category,Ailie category,Equal,Final category
right,yes,Intro,"The Introduction section does not clearly state the main goal of the research. I assume ""While many researchers have looked at the amount of studies that are unreplicable, ..., very few have examined the degree to which researcher biases or practices, eit",76,The Introduction section does not clearly state the main goal of the research. ,14,2,2,2,true,2
left,yes,Intro,Make sure you talk about what we don't know. How will your study fill in that gap?,17,,,3,3,3,true,3
left,no,Intro,Your research question is really interesting. Now you need to just write it out in paragraph form and gather two more resources.,22,,,3,3,3,true,3
right,no,Intro,Very clear organization and easy to follow along. ,9,,,1,1,1,true,1
left,yes,Intro,I think you could explain the experiments conducted by professional researchers a little bit more. ,16,,,3,2,3,false,2
left,no,Intro,This research question could be more original. The author doesn't point to a gap in the literature where the experiment he/she intends to run has not yet been done. ,30,This research question could be more original. ,8,2,2,2,true,2
left,yes,Intro,"There really was not much of a hypothesis or an introduction. The student did express the fact that there needed to be more information/research, so at least they are aware.",30,There really was not much of a hypothesis or an introduction. ,12,2,2,2,true,2
left,yes,Intro,Presented the gap in the research well.  Made the information interesting for the reader. ,16,,,1,1,1,true,1
right,yes,Intro,"The Introduction was very good, but I felt that your research question did not allow it to be falsifiable. The question is too generic with nothing to disprove. This is not a bad question though, you could re-word it to: ""Do schemas  effect the recall of ",73,"The Introduction was very good, but I felt that your research question did not allow it to be falsifiable. ",20,2,2,2,true,2
right,yes,Intro,"You also need to point to point out what the current literature fails to explain, that you plan to test.",20,,,3,3,3,true,3
left,no,Intro,"A nice work in progress. Your research question is hard to pin point, but I have a grasp on it: ""Does anonymity effect conformity?"" As long as your specific, I think you'll be fine. You do point to a gap in the current literature.",44,A nice work in progress. ,6,1,1,1,true,1
left,no,Intro,"You need to remember that this is in APA format, and find more sources.",14,,,3,3,3,true,3
left,no,Intro,"I think you're good on the originality of the research question, and I love how you broke down Bond & Smith's experiment. It was very easy to follow.",28,"I think you're good on the originality of the research question, and I love how you broke down Bond & Smith's experiment. ",23,1,1,1,true,1
left,no,Intro,Remember to CITE anything added into the paper.,8,,,3,3,3,true,3
left,yes,Intro,"You shouldn't have direct quotes in scientific literature.  You'd want to paraphrase the information and give credit to the original authors.   Make sure citations are in APA format.   You say ""if my prediction is not falsified"", however it should say ""if",88,You shouldn't have direct quotes in scientific literature. You'd want to paraphrase the information and give credit to the original authors. ,22,3,3,3,true,3
right,no,Intro,   Your experiment should be more clearly described (introduced) in the introduction.  Yours is extremely similar to the experiments with change blindness in postlingually deaf subjects.  You should state the results from those studies and compare them to,52,Your experiment should be more clearly described (introduced) in the introduction. ,12,3,2,2,false,2
left,yes,Intro,You can place your hypothesis at the end of the introduction section to serve as a transition to the method section.,21,,,3,3,3,true,3
right,no,Intro,Be more specific with your hypothesis. Incorporate what you investigate with your method into your hypothesis. Which schemas are you testing their effects particularly?,24,,,3,3,3,true,3
right,no,Intro,"Nice job with your topic, but in your introduction you should really make your research question clear. You say that ""conformity influences and affects the decisions and behaviors of individuals"" but instead maybe you should say ""how does conformity affec",71,"Nice job with your topic, but in your introduction you should really make your research question clear. ",18,3,3,3,true,3
left,yes,Intro,"I actually thought you did a very nice job in your introduction! You laid out a nice outline of the definition of metaphor, the basic information that you know about metaphor, the age when children can comprehend metaphor, etc.Towards the end of your intr",82,I actually thought you did a very nice job in your introduction! ,13,1,1,1,true,1
right,no,Intro,You want to embed your quotes a little smoothly. It will create a better flow throughout the introduction and be less choppy.,22,,,3,3,3,true,3
right,yes,Intro,"If you can get credible sources, this.will be a very intriguing study. For now it seems that the subject variables would be dif faculty to measure ",27,"If you can get credible sources, this.will be a very intriguing study. ",13,3,1,1,false,2
left,yes,Intro,Ya done gud,3,,,1,1,1,true,1
right,no,Intro,"It seemed like the introduction could be more concise. I felt like the writing was trying to make a page requirement rather than clearly defining a question, target a lack of information regarding that question, and then predicting the outcome of your stu",62,It seemed like the introduction could be more concise. ,10,2,2,2,true,2
left,no,Methods,"Perhaps you can add more to the discussion section or data/methods on what the results would mean. In the pretest section, you explained how the scores would work. Basically, I'm saying you should define the results and what conclusions they would bring. ",78,Perhaps you can add more to the discussion section or data/methods on what the results would mean. ,18,3,3,3,true,3
right,yes,Methods,"I don't think ""mixed socioeconomic backgrounds"" goes with ""local high schools""  they are kind of contradictory. Local La Jolla is full of rich people. I would just eliminate ""local"" in the ""Local high schools"" phrase so that it may not be contradictory si",49,"I don't think ""mixed socioeconomic backgrounds"" goes with ""local high schools""  they are kind of contradictory. ",18,2,2,2,true,2
left,no,Methods,I would define what constitutes intense and not so intense video games - operationalize.,14,,,3,3,3,true,3
left,yes,Methods,"The hypothesis is not very ""original"" as it does appear on the first page of google scholar search. The randomization is not explained very clearly but it will be mentioned later in dis.",33,"The hypothesis is not very ""original"" as it does appear on the first page of google scholar search. ",19,2,2,2,true,2
right,yes,Methods,"The design is very interesting and well constructed in the procedure. However, the author need to write more about the randomization.",21,,,3,2,2,false,2
right,no,Methods,"I would have a bigger sample size, possibly outside the scope of UCSD students.",14,,,3,2,3,false,3
left,yes,Methods,"Here, I see the specificity in having only French and Mexican participants, which is good. However, it seems like you're asking to see if there's an effect on all people regardless of culture. That question feels way too broad to be limiting your particip",61,"Here, I see the specificity in having only French and Mexican participants, which is good. ",16,1,1,1,true,1
right,no,Methods,"Good, very detailed ",4,,,1,1,1,true,1
left,yes,Methods,The methods should be workable. I suggest to link SAT test to cognitive ability in introduction or method.,18,,,3,3,3,true,3
right,no,Methods,Add more participants and randomize the participants to minimize bias. Explain what qualifies to be the subject to reduce the noise.,21,,,3,3,3,true,3
right,yes,Methods,I do not see a control group in the data/methods section. There should be a control group in order to understand the differences.,23,,,3,3,3,true,3
right,yes,Methods,I like your way of using the with-in subject design.,10,,,1,1,1,true,1
left,no,Methods,The control group's design is perfect ,7,,,1,1,1,true,1
left,yes,Methods,"You stated that participants should be chosen randomly, but you don't specify how you would randomly select them",18,,,2,2,2,true,2
right,no,Methods,"Specify what kind of design this is, elaborate",8,,,3,2,3,false,2
right,no,Methods,"Very detailed description of experiment conditions. Your experiment seems to minimize bias as much as possible while still obtaining your desired group of equal representation of majors. This implied given the detailed description of your procedure, but y",64,Very detailed description of experiment conditions. ,7,1,1,1,true,1
left,yes,Methods,"Well designed experiment, seems to support the hypothesis very well and avoids bias through random selection. May want to clarify the memorization tests more, as I'm a bit confused by the description ""The first memorization test will see how well an indiv",54,"Well designed experiment, seems to support the hypothesis very well and avoids bias through random selection. ",17,1,1,1,true,1
left,yes,Methods,Elaboration needed for what the writing task is. ,9,,,2,2,2,true,2
right,no,Methods,"Good explanation of how empathy and honesty are being measured. Consider describing the amount and type of food given to the participants (""How many calories?"", ""Number of fruits, vegetables?"", etc..)",30,Good explanation of how empathy and honesty are being measured. ,11,1,1,1,true,1
right,yes,Methods,I think a within subject design could also fit for this research since this could eliminate the confounds caused by the differences in each participants.,25,,,3,3,3,true,3
left,no,Methods,"When completing the experiment, there is a pre-training. But I'm curious about the effect of this pertaining. If it doesn't work like what you expected, the whole method can't help much with what you want to get.",37,"When completing the experiment, there is a pre-training. But I'm curious about the effect of this pertaining. ",18,2,2,2,true,2
left,no,Methods,You could refine your method section to be more relevant to your research question. The experiment design is great though. Nice work!,22,,,3,3,3,true,3
right,yes,Methods,Clever procedure and nice ways to remove confounds. Good design. ,11,,,1,1,1,true,1
left,yes,Methods,This section needs to be a bit longer. Is the study single or double blind at all? Between or within group? How is it possibly counter balanced? Is there any way that you are reducing possible demand characteristics? Look at the lecture slides so you can ,56,This section needs to be a bit longer. Is the study single or double blind at all? Between or within group? ,22,3,2,3,false,3
right,no,Methods,"You have a typo within the first sentence (minor). You also want to identify more information about the subjects, like where are they from? ages? socio-economic background? Also be sure to list whether this is a between subject or within subject design. I",69,You have a typo within the first sentence (minor). ,10,2,2,2,true,2
left,no,Methods,"Also, I don't believe that having the confederates answer a certain way controls for demand characteristics.",16,,,2,2,2,true,2
left,no,Methods,"Mention how the results could be interpreted, generally.  ",10,,,3,3,3,true,3
right,yes,Methods,"I have no idea what a GRE test is and how that would affect the data. I also do not understand why the GPA and SAT scores are measured or how they would affect the data. If there were a broader sample, this study could be more representative of the entire",89,I have no idea what a GRE test is and how that would affect the data. ,17,2,2,2,true,2
left,no,Methods,"There are only 2 groups in this study, not including a control group. The control group would minimize bias and also provide the experimenter with a starting point of how to compare the data in order to draw conclusions. I am unaware of the hypothesis, an",87,"There are only 2 groups in this study, not including a control group. ",14,2,2,2,true,2
left,no,Methods,Very detailed explanation!,3,,,1,1,1,true,1
right,yes,Methods,I think your operationalization on appetite is week here. What if the participant is not hungry or just hate cereal and milk?,22,,,2,2,2,true,2
left,no,Methods,Nice design. But what if the participant just hate math and doesn't want to do math problems?,17,,,2,2,2,true,2
left,yes,Methods,Really great and detailed explanation of controlling for confounds and using randomization! As previously mentioned I'm still not sure exactly what the hypothesis is but the experimental measure can be used to test the research question you stated. ,39,Really great and detailed explanation of controlling for confounds and using randomization! ,13,1,1,1,true,1
right,no,Methods,Good detailed level of explanation,5,,,1,1,1,true,1
right,yes,Methods,"You forget the ""s"" in subject in your participants section",10,,,2,3,2,false,2
left,no,Methods,That is a lot of prescreening.... big decrease in external validity and it might take a while to find enough participants to fulfill the study.,25,,,2,2,2,true,2
left,yes,Methods,"""Remaining students strictly take notes traditionally"" => ""Remaining students who strictly take notes traditionally""?",14,,,3,3,3,true,3
right,yes,Methods,Does not go into specifics as to how subjects would be selected for the experiment. Does not address potential confounds and how they would be controlled.,26,Does not go into specifics as to how subjects would be selected for the experiment. ,16,3,2,2,false,2
left,no,Methods,"While your experiment does not necessarily need a control group, make sure to explain why this is the case.",19,,,3,3,3,true,3
left,yes,Methods,"I don't think you want to separate into different age groups, since that is not part of your hypothesis. If you do, then add something about age to your hypothesis. Maybe instead of having the experimenter in the room, you just make them enter the answers",80,"I don't think you want to separate into different age groups, since that is not part of your hypothesis. ",20,3,3,2,false,3
right,no,Methods,"You do not need ""The woman are recruited from society."" I think that is a given. How are you going to recruit men?",23,,,3,2,3,false,3
right,no,Methods,"You didn't finish the sentence ""The bowls are then placed inside the .""",13,,,2,2,2,true,2
right,no,Methods,Maybe talk about how you will do randomization? ,9,,,3,3,3,true,3
left,yes,Methods,Your hypothesis is not clear in your paper. I don't see anywhere a hypothesis that gives your opinion on what time of the day is better for test taking.,29,Your hypothesis is not clear in your paper. ,9,2,2,2,true,2
left,yes,Methods,"Other than that, your method seems valid and reliable to draw a conclusion for what you want to test.",19,,,1,1,1,true,1
right,no,Methods,I think your study design on concentration is interesting and perhaps valid however it seems very tedious. Analyzing all the camera data and trying to conclude whether the subject is more focused than someone else is not necessarily correct. This is becau,83,I think your study design on concentration is interesting and perhaps valid however it seems very tedious. ,18,2,2,2,true,2
left,no,Methods,Who is the control group?,5,,,2,2,3,false,2
right,yes,Methods,"Yes, please get this proofread by a friend. It's very distracting to read it when the English is incorrect.",19,,,3,3,3,true,3
right,yes,Methods,"Furthermore, there is no control group. There are two experimental groups: ""One group with a lesion on the left amygdala and one group with a lesion on the right.."" There needs to be a control group with no lesions on either amygdala.",42,"Furthermore, there is no control group. ",7,2,2,2,true,2
left,no,Methods,"Will the tests be timed? In total, what is the length of time of the experiment? Gender is not specified in your participants (maybe make it an even number of males and females?)",33,"Will the tests be timed? In total, what is the length of time of the experiment? ",17,2,2,3,false,2
right,yes,Methods,"Pls mention how you are to abide the rules for the IACUC when using rats as participants. Also since you are using pure female rats in this study, wouldn't that limit your external validity? Also mention the length of the experiment (how long are the cats",50,Pls mention how you are to abide the rules for the IACUC when using rats as participants. ,18,3,3,3,true,3
left,yes,Methods,"I'm not sure what the Stroop Test is, remember to briefly explain that. I'm also not sure what you mean by ""video simulation exercise,"" is it just watching a video and saying what actions and level of force is required or is it a real simulation? If the s",91,"I'm not sure what the Stroop Test is, remember to briefly explain that. ",14,3,3,3,true,3
left,no,Methods,"1. Confederates really need to be great actors for all these details. 2. In previous studies listed, being the group is asked questions because being right or wrong is an important motivation for the subject to make decision, but in this case more explana",86,1. Confederates really need to be great actors for all these details. 2. ,14,3,2,2,false,2
left,yes,Methods,"The issue though, is that some people may want to write more in one summary than another or read the passages more slowly. Maybe have more direct questions rather than a direct summary. ",34,"The issue though, is that some people may want to write more in one summary than another or read the passages more slowly. ",24,2,2,2,true,2
left,yes,Methods,-I think you've misunderstood what a pretest-posttest design is. check this link http://web.csulb.edu/~msaintg/ppa696/696exper.htm,13,,,3,2,3,false,3
right,no,Methods,make sure you mention how you randomize each student into each class group,13,,,3,2,3,false,3
right,no,Methods,explain the significance of having students who take Spanish/French,9,,,3,3,3,true,3
right,no,Methods,"are your conditions the class of 150, 50, and 10? if so, explicitly say so",15,,,3,3,3,true,3
right,no,Methods,how do you counterbalance?,4,,,2,2,3,false,2
right,yes,Methods,The author has made it very clear each section of how his Study Design will be and it is very easy to read. It also addresses all of the issues in the feedback form. ,35,The author has made it very clear each section of how his Study Design will be and it is very easy to read. ,24,1,1,1,true,1
left,no,Methods,"This is really in detail. The only suggestion I have is that maybe instead of a 1-10 scale which is really relative, maybe a smaller one such as 1-5 will have more generally acceptable answers. ",36,This is really in detail. ,6,1,1,1,true,1
right,yes,Methods,specify what online material really is (aka is it just a podcast of lectures inaccessible by non UCSD students?),19,,,3,3,3,true,3
right,no,Methods,no control group,3,,,2,2,2,true,2
left,no,Methods,The random selection should be described with more details. Just mentioning to choose randomly from Chinese and Americans is not good enough. The rest of experiment design is good. I really like the chart part where readers could easily understand the mea,45,The random selection should be described with more details. Just mentioning to choose randomly from Chinese and Americans is not good enough. ,23,3,3,3,true,3
right,yes,Methods,The author has considered a lot about randomization and the design of questions which is good. I think the author has covered most part of knowledge we have learnt in the class.,32,The author has considered a lot about randomization and the design of questions which is good. ,17,1,1,1,true,1
left,yes,Methods,Your Data/Methods section seems fine since you included a way to randomly assign your participants to reduce possible confounds. But what I saw missing is whether or not these participants are native English speakers or not. People have different reading ,78,Your Data/Methods section seems fine since you included a way to randomly assign your participants to reduce possible confounds. ,20,1,1,1,true,1
left,no,Methods,"Control group nice enough, hypothesis nice enough, can be supported or refuted.",12,,,1,1,1,true,1
right,yes,Methods,"Nothing more than that can I think about to change on, probably I need some self-improvements.",16,,,1,1,1,true,1
left,yes,Methods,yes its great that you also recognize that your design might not represent the population,15,,,1,1,1,true,1
left,yes,Methods,yes its great that you also recognize that your design might not represent the population,15,,,1,1,1,true,1
left,yes,Methods,yes its great that you also recognize that your design might not represent the population,15,,,1,1,1,true,1
right,no,Methods,Perhaps create a control group? What will you do to take into account outside factors as the week progresses? (i see it in your discussion session - but perhaps you can find a way to minimize it in your procedure),40,Perhaps create a control group? What will you do to take into account outside factors as the week progresses? ,20,3,2,3,false,3
right,yes,Methods,"Not sure if this counts as randomization. I see why you want to pull participants from the same class, but I think it can introduce confounds such as the professor, assignments, etc.",32,Not sure if this counts as randomization. ,8,2,2,2,true,2
left,yes,Methods,"Well thought out data/methods section. I would try to elaborate a little bit more on what the socialization pretest would entail, if possible. ",24,,,3,3,3,true,3
right,no,Methods,I'm not exactly clear what is the control group for this experiment. I also think there might be a bit of ethical concerns regarding making people imagine their phobias so that might be something to think about. I know this section is incomplete but more ,50,I'm not exactly clear what is the control group for this experiment. ,13,2,2,2,true,2
left,no,Methods,I think the only additions I would make to this would be to explain why the certain time period was chosen.,21,,,3,3,3,true,3
left,no,Methods,"In the procedure, you could inform the participants that their reaction times are also being measured. By doing this, you reduce the risk of having the participants take their time pressing the button.",33,"In the procedure, you could inform the participants that their reaction times are also being measured. ",17,3,3,3,true,3
left,yes,Methods,"Explain a bit more in detail about how they are tested. To me, it wasn't clear when you said that they should already have completed the class. Does this mean that they will be tested in something learnt before? And add that you record their sleep pattern",65,Explain a bit more in detail about how they are tested. ,12,3,3,3,true,3
right,yes,Methods,You can add the part that how do you separate different group to support your expect result. And how you can know from the certain test result from the different group.,31,You can add the part that how do you separate different group to support your expect result. ,18,3,3,3,true,3
left,no,Methods,You have very rational structure of the whole method which is a good sign. ,15,,,1,1,1,true,1
left,yes,Methods,No solid measurements have been included if experimental measure,9,,,2,2,2,true,2
left,yes,Methods,There is no control group. Maybe specify the time of day the experiment takes place. To make sure its only fluorescent light and not natural have the test in a dark room or at night and to make sure its only natural have the exam in the morning. The contr,63,There is no control group. Maybe specify the time of day the experiment takes place. ,16,3,3,3,true,3
left,no,Methods,You have not specified what your independent and dependent variables are.,11,,,2,2,2,true,2
left,no,Methods,Describe your dependent and independent variables.  There is no control.,11,,,3,3,3,true,3
right,no,Methods,"The biased due to the subject's favorite food in the way you approach your study. You may have to make changes to your initial procedure. Also, I don't know why you have the subjects fast for 16 hours;  ",40,The biased due to the subject's favorite food in the way you approach your study. ,16,2,2,2,true,2
right,no,Methods,you have to account for participants that may fast regularly.  I intermittent fast for 16 - 20 hours everyday and could still avoid eating cake when given the choice. Take into account the eating habits of your participants as well because it will lead to,48,you have to account for participants that may fast regularly. ,11,3,2,3,false,2
right,no,Methods,"First, is it ethical to give marijuana to people? Perhaps some preparation so that it would be more ethical to perform the test is required.",25,,,3,2,3,false,2
right,no,Methods,"Secondly, make an attempt at randomizing so that you have less chance of bias, get rid of the confounds that you can get rid of.",25,,,3,3,3,true,3
left,yes,Methods,"The randomization does occur to an extent, and this enables a degree of minimization of bias. It would be good to explain in more detail what exactly the matching task is to the audience, including the number of questions, time limit if there is any, and ",80,"The randomization does occur to an extent, and this enables a degree of minimization of bias. ",17,1,1,1,true,1
left,no,Methods,I'm not sure how this directly shows neurotransmitters specifically. It just mentions bloodflow activity.,14,,,2,2,2,true,2
left,yes,Methods,"Considering what is being tested, I think the way that this was designed suites the research well. It could have been better at explaining how it will measure the results and how the results will be interpreted.",37,"Considering what is being tested, I think the way that this was designed suites the research well. ",18,1,1,1,true,1
left,yes,Methods,"Good design, but will participants get frustrated if they cannot remember? And how long will the experiment take?",18,,,2,2,3,false,2
right,no,Methods,good description,2,,,1,1,1,true,1
left,yes,Methods,"I think your experiment is a within subjects design because you would not need to counterbalance if it was a between subjects design. You do not address any randomization. Also, the way you formatted this section was clunky. Consider adjusting.",40,I think your experiment is a within subjects design because you would not need to counterbalance if it was a between subjects design. ,24,2,2,3,false,3
left,yes,Methods,I like how you're very thorough in your discussion of the methods and procedures. ,15,,,1,1,1,true,1
left,no,Methods,No data/method section,3,,,2,2,2,true,2
right,yes,Methods,"I think there is bias when you chose your participants because you stated that that age group had the highest probability for DUI. However, this can be easily fixed by putting citations from where you got the information from. ",40,I think there is bias when you chose your participants because you stated that that age group had the highest probability for DUI. ,24,2,2,2,true,2
left,no,Methods,I thing you did a really good job operationalizing you research question. Please don't abuse your subjects I don't think the IRB would like that :),26,I thing you did a really good job operationalizing you research question. ,13,1,1,1,true,1
right,yes,Methods,Maybe you should have an outside group rate the teachers rather than your subjects. That might lessen some demand characteristics. If your students recognize the teachers that just two days earlier they rated as being either attractive or not attractive t,47,Maybe you should have an outside group rate the teachers rather than your subjects. That might lessen some demand characteristics. ,21,3,3,3,true,3
right,yes,Methods,Your control groups are split by gender which introduces a HUGE confound. I think I understand why you did it but I don???t think that will fly. If you don???t change it you definitely need to mention it in your discussion section.,42,Your control groups are split by gender which introduces a HUGE confound. ,13,2,2,2,true,2
right,no,Methods,The experiment is unique because there really isn't a test group and a control group....and that's fine! but...keep in mind that the rubric they'll likely be grading these with will probably make note of the fact that you lack a control group and you migh,47,The experiment is unique because there really isn't a test group and a control group....and that's fine! ,18,1,1,1,true,1
left,yes,Methods,Maybe you could be more specific which article will be used to lower the bias.,15,,,3,3,3,true,3
left,no,Methods,Keep working :),3,,,1,1,1,true,1
left,yes,Methods,"I would go more in depth about what kind of participants you have. Like are they male/ female, or maybe they're a certain age group, or how many participants are you going to have?",34,I would go more in depth about what kind of participants you have. ,14,3,3,3,true,3
right,yes,Methods,"Nice start! It wasn't clear how difficult the mathematical problem would be, and that's important to describe. Also, that discussion portion that you have your participants do may be a confounding factor on their performance.",35,"Nice start! It wasn't clear how difficult the mathematical problem would be, and that's important to describe. ",18,3,2,2,false,3
left,yes,Methods,"I don't think there is a control group. Though randomization is done okay. Experiment itself is done good, while there is 4 trials its 2 trials each done twice at a different length. I think there is possibility of adding in different types of exercise ra",63,I don't think there is a control group. Though randomization is done okay. ,14,2,2,2,true,2
right,no,Methods,Very good design easy to understand also states both the independent and dependent variable.,14,,,1,1,1,true,1
left,no,Methods,"Though this procedure seems complicated, it can lead to potentially valuable information. Seems that this research has been done before by use of references.",24,,,2,1,2,false,2
right,yes,Methods,"No data, no work implication of simulated experiment",8,,,2,2,2,true,2
right,no,Methods,"For method and participants, speak to your TA about format may not be APA appropriate. Should be essay formatted no bullet points.",22,,,3,3,3,true,3
left,yes,Methods,"It is a correlation study based on your findings. Physical exercise might be correlated with grades, but there is no causation. Maybe that is a future study you can discuss in your paper. Otherwise the data is thorough.",38,"It is a correlation study based on your findings. Physical exercise might be correlated with grades, but there is no causation. ",22,2,2,2,true,2
right,no,Methods,"Again solid design. Really took into account what was required. You followed the syllabus very well, do not see much room for improvement.",23,,,1,1,1,true,1
right,no,Methods,Needs to be more specific. What exactly are your the tasks? How will they translate to your measure of memory retrieval (operationalization)? ,23,,,3,2,3,false,3
right,no,Methods,"You hit all of the points, but only in very broad strokes. ",13,,,2,2,2,true,2
right,yes,Methods,"You need to rethink your grouping algorithm. Currently grouping is completely random, and there's no way of assuring that one group isn't comprised of, say, individuals higher average IQs. Something like a matching scheme might work a lot better.",39,You need to rethink your grouping algorithm. ,8,3,2,2,false,2
right,yes,Methods,"Also, you're use of the control group is a bit problematic. By having the control group study at all three times, they just end up studying more than the other groups, even if the vocabulary words are different. See history effects.",41,"Also, you're use of the control group is a bit problematic. ",12,2,2,2,true,2
left,no,Methods,Procedure looks good ,4,,,1,1,1,true,1
left,no,Methods,Hard to spot independent and dependent variables,7,,,2,2,2,true,2
left,yes,Methods,There is no randomization process ,6,,,2,2,2,true,2
right,no,Methods,"I'm not totally sure what your method of measurement is -- it is amount of money spent and number of hours played? Being a little more explicit in your wording of what you're specifically measuring would be helpful. You also don't have a control group, ex",74,I'm not totally sure what your method of measurement is -- it is amount of money spent and number of hours played? ,23,2,2,2,true,2
right,no,Methods,"No control group. One confound is the game of choice, the game itself requires lots of alertness and participant are not in a natural environment. Consider a physically more relaxing game, video games? Confounds could be carryover & tester effects, demand",73,No control group. ,4,2,2,2,true,2
left,yes,Methods,"Your method is not conclusive to say that the independent variable causes the change in the dependent variable. This is only showing a correlation. Also, this sounds like a type of a quasi-experiment. I don???t think you have a control group nor you are c",72,Your method is not conclusive to say that the independent variable causes the change in the dependent variable. ,19,2,2,2,true,2
left,yes,Methods,history effect and experimenter effect. I suggest review ch. 8 in the textbook,13,,,3,3,3,true,3
right,no,Methods,Are there 40 or 50 participants in the study ? I'm guessing the (50) is a type-o because you state that there will 20 females and 20 males?,28,Are there 40 or 50 participants in the study ? ,11,2,2,3,false,2
right,no,Methods,"Should the control group include the particpants who are NOT taking a art class, ",15,,,2,2,3,false,2
right,no,Methods,Can't have a result section...study technically hasn't been done yet. ,11,,,2,2,2,true,2
left,yes,Methods,"For the individuals that are offered a mint, is there any pretest to see if those participants like gum or mint. I think a pretest to determine if the participants like mint, would be a useful tool in grouping the control and experiment group. To reduce e",71,"For the individuals that are offered a mint, is there any pretest to see if those participants like gum or mint. ",22,3,2,2,false,2
left,no,Methods,"I think you should explain why the drawing exercise and physics video is important in determining productive output. So in response to the stapler, I think that it would not pass the research guidelines because you would be hurting a participant and thats",71,I think you should explain why the drawing exercise and physics video is important in determining productive output. ,19,3,3,3,true,3
right,yes,Methods,try not to use I statements,6,,,3,3,3,true,3
left,yes,Methods,"The first sentence is actually not a sentence; I think it is missing ""will be selected"" at the end. The first sentence also says that 100 subjects (total) will be used, but then the second sentence says there will be two groups of 100 each (200 total).",47,"The first sentence is actually not a sentence; I think it is missing ""will be selected"" at the end. ",20,2,3,2,false,3
left,yes,Methods,I like the subtle use of mints to minimize demand characteristics! :),12,,,1,1,1,true,1
left,no,Methods,"Line four says ""early afternoon, around 11:00am"", but 11:00am is actually late morning!",13,,,3,2,2,false,3
left,no,Methods,"I think it's interesting that you're not splitting the participants into different groups. I would recommend having one group listen to hip hop (experimental group), and another separate group listen to classical music (control group). But I think you sho",48,I think it's interesting that you're not splitting the participants into different groups. ,14,1,1,1,true,1
left,yes,Methods,The methods may need additional details to counterbalance possible confound variables. ,12,,,3,3,2,false,2
left,no,Methods,"Really detailed design, even the brands of chocolate are listed. I love that!",13,,,1,1,1,true,1
left,yes,Methods,"- I think there may be a bias in judging based on depth & detail of participants' answers. The judge will be subjective in terms of how they score, and participants are bound to have different styles of writing. I would suggest that to make it more object",69,- I think there may be a bias in judging based on depth & detail of participants' answers. ,19,2,2,2,true,2
left,yes,Methods, Risk of demand characteristics from anticipating the aims of the experiment,12,,,2,2,2,true,2
left,no,Methods,You will need a control group,6,,,3,3,3,true,3
left,no,Methods,Should use ABBA in study to counterbalance (not listen then listen/listen then not listen). ,15,,,3,3,3,true,3
left,no,Methods,Need to address more about how to measure the performance of the students.,13,,,3,3,3,true,3
right,yes,Methods,"Good counterbalance randomization. I am not sure though about the experiment measure. It seems like you are asking subjects to replicate experiments in 3 different biased mental condition, which from my perspective are not able to clearly segregated and m",40,Good counterbalance randomization. I am not sure though about the experiment measure. ,13,2,2,2,true,2
left,yes,Methods,Clearly state your methods for randomization. Make sure that your methods are ethical within APA standards. Possibly talk about main effects and interactions.,23,,,3,3,3,true,3
left,no,Methods,Address if you're going to use a control group and also how you are going to split people into groups if you are.,23,,,3,3,3,true,3
left,yes,Methods,Not included ,3,,,2,2,2,true,2
left,yes,Methods,Methods section was very clear and descriptive.,7,,,1,1,1,true,1
left,no,Methods,Data/methods section was great. Procedure and implementation were clear and descriptive. ,12,,,1,1,1,true,1
left,yes,Methods,"There was not much of a hypothesis so, it cannot be supported or refuted. It does use a control group however, the author needs to be more clear on how they will randomize the students to minimize bias.",38,"There was not much of a hypothesis so, it cannot be supported or refuted. ",15,2,2,2,true,2
right,no,Methods,Really good formatting. ,4,,,1,1,1,true,1
right,yes,Methods,"I have questions: ""What is the difference between your C. Group & T. Group?""",14,,,2,2,2,true,2
right,yes,Methods,You have to be as detailed as possible and assume that your reader needs step by step explanations. So you'll need to explain your prep (which you did) AND review or bring that all together in your explanation of the experiment. ,42,You have to be as detailed as possible and assume that your reader needs step by step explanations. ,19,3,3,3,true,3
right,yes,Methods,"I liked the data collected part, bring your Ho and H1 explanations down to this section.",16,,,3,1,3,false,3
right,yes,Methods,"I said No to your measure support because your research question, Yes if changed",14,,,2,2,2,true,2
left,no,Methods,"Your best bet is to email you TA for a bit of help. Or, go down to Gisele. The librarians down there are very helpful.",25,,,3,3,3,true,3
left,no,Methods,"Also, make sure to be very detailed in how you do your experiment so the reader can follow with no prior knowledge.",22,,,3,3,2,false,3
left,yes,Methods,4 -18 and 18-40 are too large of age ranges.  16-22 and 36-42 might be more appropriate.  There's little value keeping data from a 4 year old with an 18 year old.  Especially because under 16 will experience large developmental changes throughout the year,80,4 -18 and 18-40 are too large of age ranges. 16-22 and 36-42 might be more appropriate. ,18,3,3,3,true,3
right,no,Methods,"I like the procedure and design that you have set up, however I'm not sure it will provide substantial evidence. There is actually a name for someone conforming to the ideas of a person who is believed to have higher knowledge/authority and it is called """,72,"I like the procedure and design that you have set up, however I'm not sure it will provide substantial evidence. ",21,2,2,2,true,2
left,yes,Methods,"You left your ""operationalize"" section empty. You are studying whether being bilingual helps or hinders children in their timeline of understanding metaphor, so I would say to operationalize this study you should time the children in how fast they can com",57,"You left your ""operationalize"" section empty. ",7,2,2,2,true,2
